timestamp,total_duration,time_between_movements,hover_time,position_x,position_y,velocity,acceleration,jerk,path_length,click_events,scroll_events,average_velocity,peak_velocity,average_acceleration,peak_acceleration,average_momentum,peak_momentum,smoothness,deviation_from_ideal_path,idle_time,fitts_index_of_difficulty,fitts_movement_time
1755143544.6347,0.270087,0.020416,0,87.6328125,64.578125,458.557151419624,11947.374715743981,-152965.7409736352,22.8828125,None,None,205.5982486360494,458.557151419624,9006.150694418067,15070.323283461717,205.5982486360494,458.557151419624,0.0000008934831324062672,1,0,0.29728314146278656,0.270087
1755143544.6553,0.290675,0.020588,0,101.52734375,64.578125,523.4554895278343,9308.834606852488,-128159.12710761091,36.77734375,None,None,269.1696968144064,523.4554895278343,9081.821672526672,15070.323283461717,269.1696968144064,523.4554895278343,0.00000126764683509216,1,0,0.4518292772524365,0.290675
1755143544.6649,0.300305,0.00963,0,165.640625,64.578125,2363.7173239778954,63845.21333539055,5663175.361218907,100.890625,None,None,618.2609680083211,2363.7173239778954,20034.50000509945,63845.21333539055,618.2609680083211,2363.7173239778954,0.0000004981465767890166,1,-0.00000000000000005551115123125783,1.0064102391254781,0.300305
1755143544.6832,0.318561,0.018256,0,251.46484375,64.578125,3064.9475269269456,56214.93268735419,-417960.15819655807,186.71484375,None,None,967.7876192824104,3064.9475269269456,26064.572118808574,63845.21333539055,967.7876192824104,3064.9475269269456,0.0000005918753088668779,1,-0.00000000000000005551115123125783,1.5196165974635316,0.318561
1755143544.6832,0.318596,0.000035,0,322.0703125,64.578125,7440.873425098862,367544.8952440416,77832490.63917185,257.3203125,None,None,1776.9233450094669,7440.873425098862,74847.47542241329,367544.8952440416,1776.9233450094669,7440.873425098862,0.00000006954085519113889,1,-0.00000000000000005551115123125783,1.837217928784819,0.318596
1755143544.6998,0.335218,0.016622,0,444.02734375,70.9921875,7412.779034747282,256774.36872921712,-6664091.355722804,379.4458940505801,None,None,2403.129532758113,7440.873425098862,97588.33708576376,367544.8952440416,2403.129532758113,7440.873425098862,0.00000007531391869415805,1.000301370109984,-0.00000000000000005551115123125783,2.2610239772659315,0.335218
1755143544.7169,0.352278,0.01706,0,507.61328125,73.73828125,6308.145930796722,160317.09145247025,-5654002.185037917,443.09110187204686,None,None,2793.6311725619735,7440.873425098862,104558.19868206448,367544.8952440416,2793.6311725619735,7440.873425098862,0.00000008113729378421993,1.000300472511875,-0.00000000000000011102230246251565,2.4408406177729076,0.352278
1755143544.7366,0.371967,0.019689,0,546.15234375,73.73828125,5002.9193159642255,92334.31180230746,-3452830.4967323267,481.63016437204686,None,None,2994.4755492349054,7440.873425098862,103335.80999408879,367544.8952440416,2994.4755492349054,7440.873425098862,0.00000008819107758336509,1.0002921735114934,-0.00000000000000011102230246251565,2.5397531060928995,0.371967
1755143544.7485,0.383899,0.011932,0,580.296875,73.73828125,4360.52151103416,48482.5481410135,-3675139.428536202,515.7746956220469,None,None,3108.3127127181765,7440.873425098862,98349.1498256274,367544.8952440416,3108.3127127181765,7440.873425098862,0.00000009458386372470338,1.0002840203825258,-0.00000000000000011102230246251565,2.6220594279379554,0.383899
1755143544.7656,0.400948,0.017049,0,593.53125,73.73828125,3285.241619399083,15016.793171961668,-1962916.0049886699,529.0090706220469,None,None,3121.922628616708,7440.873425098862,91404.78677115525,367544.8952440416,3121.922628616708,7440.873425098862,0.0000001021458091663944,1.0002807643507912,-0.00000000000000005551115123125783,2.652740215813635,0.400948
